Contract Name,ISIN,Expiry Date,MTM Price,Volume,Previous Price,Total Value,Open Interest Contracts,Stock Future,date
INDEX (25MN),KE7000006879,15-Dec-2022,3131.0,0.0,3132.0,0.0,0.0,INDEX (25MN),2022-10-31
INDEX (25MN),KE7000009105,16-Mar-2023,3177.0,0.0,3178.0,0.0,0.0,INDEX (25MN),2022-10-31
INDEX (25MN),KE8000002876,15-Jun-2023,3221.0,0.0,3222.0,0.0,0.0,INDEX (25MN),2022-10-31
INDEX (25MN),KE8000003650,21-Sep-2023,3269.0,0.0,3270.0,0.0,0.0,INDEX (25MN),2022-10-31
SINGLE STOCK FUTURE (SCOM),KE7000007109,15-Dec-2022,25.5,13.0,25.5,331500.0,93.0,SINGLE STOCK FUTURE (SCOM),2022-10-31
SINGLE STOCK FUTURE (SCOM),KE7000008438,16-Mar-2023,25.95,0.0,25.72,0.0,31.0,SINGLE STOCK FUTURE (SCOM),2022-10-31
SINGLE STOCK FUTURE (SCOM),KE8000003098,15-Jun-2023,26.59,0.0,26.35,0.0,4.0,SINGLE STOCK FUTURE (SCOM),2022-10-31
SINGLE STOCK FUTURE (SCOM),KE8000003874,21-Sep-2023,27.3,0.0,27.05,0.0,0.0,SINGLE STOCK FUTURE (SCOM),2022-10-31
SINGLE STOCK FUTURE (EQTY),KE7000007216,15-Dec-2022,47.09,0.0,47.23,0.0,29.0,SINGLE STOCK FUTURE (EQTY),2022-10-31
SINGLE STOCK FUTURE (EQTY),KE7000008545,16-Mar-2023,47.0,10.0,48.43,470000.0,11.0,SINGLE STOCK FUTURE (EQTY),2022-10-31
SINGLE STOCK FUTURE (EQTY),KE8000003106,15-Jun-2023,47.63,1.0,49.63,47630.0,10.0,SINGLE STOCK FUTURE (EQTY),2022-10-31
SINGLE STOCK FUTURE (EQTY),KE8000004096,21-Sep-2023,50.8,0.0,50.95,0.0,1.0,SINGLE STOCK FUTURE (EQTY),2022-10-31
SINGLE STOCK FUTURE (KCBG),KE7000007323,15-Dec-2022,36.97,0.0,37.05,0.0,14.0,SINGLE STOCK FUTURE (KCBG),2022-10-31
SINGLE STOCK FUTURE (KCBG),KE7000008768,16-Mar-2023,37.91,0.0,37.99,0.0,13.0,SINGLE STOCK FUTURE (KCBG),2022-10-31
SINGLE STOCK FUTURE (KCBG),KE8000003213,15-Jun-2023,38.84,0.0,38.93,0.0,0.0,SINGLE STOCK FUTURE (KCBG),2022-10-31
SINGLE STOCK FUTURE (KCBG),KE8000004104,21-Sep-2023,39.88,0.0,39.96,0.0,0.0,SINGLE STOCK FUTURE (KCBG),2022-10-31
SINGLE STOCK FUTURE (EABL),KE7000007430,15-Dec-2022,175.0,2.0,168.75,35000.0,10.0,SINGLE STOCK FUTURE (EABL),2022-10-31
SINGLE STOCK FUTURE (EABL),KE7000008875,16-Mar-2023,172.9,0.0,173.05,0.0,0.0,SINGLE STOCK FUTURE (EABL),2022-10-31
SINGLE STOCK FUTURE (EABL),KE8000003320,15-Jun-2023,177.2,0.0,177.35,0.0,0.0,SINGLE STOCK FUTURE (EABL),2022-10-31
SINGLE STOCK FUTURE (EABL),KE8000004328,21-Sep-2023,181.9,0.0,182.05,0.0,0.0,SINGLE STOCK FUTURE (EABL),2022-10-31
SINGLE STOCK FUTURE (BATK),KE7000007547,15-Dec-2022,437.95,1.0,437.95,43795.0,1.0,SINGLE STOCK FUTURE (BATK),2022-10-31
SINGLE STOCK FUTURE (BATK),KE7000008982,16-Mar-2023,444.6,0.0,449.1,0.0,5.0,SINGLE STOCK FUTURE (BATK),2022-10-31
SINGLE STOCK FUTURE (BATK),KE8000003437,15-Jun-2023,455.6,0.0,460.2,0.0,0.0,SINGLE STOCK FUTURE (BATK),2022-10-31
SINGLE STOCK FUTURE (BATK),KE8000004435,21-Sep-2023,467.7,0.0,472.45,0.0,0.0,SINGLE STOCK FUTURE (BATK),2022-10-31
SINGLE STOCK FUTURE (ABSA),KE7000007653,15-Dec-2022,11.35,0.0,11.25,0.0,22.0,SINGLE STOCK FUTURE (ABSA),2022-10-31
SINGLE STOCK FUTURE (ABSA),KE7000009097,16-Mar-2023,11.63,0.0,11.75,0.0,10.0,SINGLE STOCK FUTURE (ABSA),2022-10-31
SINGLE STOCK FUTURE (ABSA),KE8000003544,15-Jun-2023,11.92,0.0,11.82,0.0,0.0,SINGLE STOCK FUTURE (ABSA),2022-10-31
SINGLE STOCK FUTURE (ABSA),KE8000004542,21-Sep-2023,12.24,0.0,12.14,0.0,0.0,SINGLE STOCK FUTURE (ABSA),2022-10-31
SINGLE STOCK FUTURE (NCBA),KE8000001324,15-Dec-2022,29.3,1.0,32.55,29300.0,8.0,SINGLE STOCK FUTURE (NCBA),2022-10-31
SINGLE STOCK FUTURE (NCBA),KE8000001985,16-Mar-2023,32.57,0.0,33.37,0.0,35.0,SINGLE STOCK FUTURE (NCBA),2022-10-31
SINGLE STOCK FUTURE (NCBA),KE8000002439,15-Jun-2023,33.38,0.0,34.2,0.0,0.0,SINGLE STOCK FUTURE (NCBA),2022-10-31
SINGLE STOCK FUTURE (NCBA),KE8000004658,21-Sep-2023,34.26,0.0,35.11,0.0,0.0,SINGLE STOCK FUTURE (NCBA),2022-10-31
SINGLE STOCK FUTURE (COOP),KE8000001548,15-Dec-2022,12.5,1.0,11.91,12500.0,2.0,SINGLE STOCK FUTURE (COOP),2022-10-31
SINGLE STOCK FUTURE (COOP),KE8000002090,16-Mar-2023,12.2,0.0,12.21,0.0,0.0,SINGLE STOCK FUTURE (COOP),2022-10-31
SINGLE STOCK FUTURE (COOP),KE8000002546,15-Jun-2023,12.5,0.0,12.51,0.0,0.0,SINGLE STOCK FUTURE (COOP),2022-10-31
SINGLE STOCK FUTURE (COOP),KE8000004765,21-Sep-2023,12.84,0.0,12.85,0.0,0.0,SINGLE STOCK FUTURE (COOP),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000001654,15-Dec-2022,139.4,0.0,140.0,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000002108,16-Mar-2023,142.95,0.0,143.55,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000002652,15-Jun-2023,146.45,0.0,147.1,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000004872,21-Sep-2023,150.35,0.0,151.0,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000001878,15-Dec-2022,17.14,0.0,16.85,0.0,1.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000002215,16-Mar-2023,17.58,0.0,17.28,0.0,0.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000002769,15-Jun-2023,18.01,0.0,17.71,0.0,0.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000004989,21-Sep-2023,18.49,0.0,18.18,0.0,0.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
