id,name,value,change,date
166,NSE ALL SHARE INDEX,128.16,-0.19 ,2022-12-21
179,ETF in Units-Total Deals,0.00,0.00 ,2022-12-21
178,TOTAL DERIVATIVES VOLUME,9.00,-2.00 ,2022-12-21
177,TOTAL DERIVATIVES OPEN INTEREST,186.00,9.00 ,2022-12-21
176,TOTAL DERIVATIVES DEALS,6.00,-1.00 ,2022-12-21
175,DERIVATIVES TURNOVER,"274,035.00","-221,185.00 ",2022-12-21
174,TOTAL I-REIT DEALS,8.00,0.00 ,2022-12-21
180,ETF Turnover in KES,0.00,0.00 ,2022-12-21
173,I-REIT TURNOVER,"39,032.00","5,848.00 ",2022-12-21
172,TOTAL EQUITY DEALS,"1,011.00",75.00 ,2022-12-21
171,EQUITY TURNOVER,"455,750,759.25","167,960,399.55 ",2022-12-21
170,TOTAL SHARE TRADED,"13,279,900.00","7,044,900.00 ",2022-12-21
169,MARKET CAPITALIZATION (Billions),"1,996.83",-2.97 ,2022-12-21
168,NSE 25 SHARE INDEX,"33,125.84","29,996.47 ",2022-12-21
167,NSE 20 SHARE INDEX,"1,656.34",1.13 ,2022-12-21
154,MARKET CAPITALIZATION (Billions),"1,999.80",-4.34 ,2022-12-20
165,ETF Turnover in KES,0.00,0.00 ,2022-12-20
164,ETF in Units-Total Deals,0.00,0.00 ,2022-12-20
163,TOTAL DERIVATIVES VOLUME,11.00,5.00 ,2022-12-20
162,TOTAL DERIVATIVES OPEN INTEREST,177.00,4.00 ,2022-12-20
161,TOTAL DERIVATIVES DEALS,7.00,4.00 ,2022-12-20
160,DERIVATIVES TURNOVER,"495,220.00","308,550.00 ",2022-12-20
159,TOTAL I-REIT DEALS,8.00,-27.00 ,2022-12-20
158,I-REIT TURNOVER,"33,184.00","-337,424.00 ",2022-12-20
157,TOTAL EQUITY DEALS,936.00,78.00 ,2022-12-20
156,EQUITY TURNOVER,"287,790,359.70","227,057,399.03 ",2022-12-20
155,TOTAL SHARE TRADED,"6,235,000.00","-6,266,100.00 ",2022-12-20
153,NSE 25 SHARE INDEX,"3,129.37",-4.66 ,2022-12-20
152,NSE 20 SHARE INDEX,"1,655.21",-0.65 ,2022-12-20
151,NSE ALL SHARE INDEX,128.35,-0.28 ,2022-12-20
137,NSE 20 SHARE INDEX,"1,666.47",-0.87 ,2022-11-11
150,ETF Turnover in KES,0.00,0.00 ,2022-11-11
149,ETF in Units-Total Deals,0.00,0.00 ,2022-11-11
148,TOTAL DERIVATIVES VOLUME,22.00,12.00 ,2022-11-11
147,TOTAL DERIVATIVES OPEN INTEREST,313.00,20.00 ,2022-11-11
146,TOTAL DERIVATIVES DEALS,2.00,-7.00 ,2022-11-11
145,DERIVATIVES TURNOVER,"295,620.00","-131,955.00 ",2022-11-11
144,TOTAL I-REIT DEALS,8.00,-4.00 ,2022-11-11
143,I-REIT TURNOVER,"29,684.00","-13,684.00 ",2022-11-11
142,TOTAL EQUITY DEALS,960.00,181.00 ,2022-11-11
141,EQUITY TURNOVER,"297,486,961.97","80,622,883.95 ",2022-11-11
140,TOTAL SHARE TRADED,"9,769,300.00","1,475,400.00 ",2022-11-11
136,NSE ALL SHARE INDEX,128.09,-0.65 ,2022-11-11
139,MARKET CAPITALIZATION (Billions),"1,995.69",-10.23 ,2022-11-11
138,NSE 25 SHARE INDEX,"3,088.01",-6.70 ,2022-11-11
121,NSE ALL SHARE INDEX,127.36,-0.17 ,2022-11-08
135,ETF Turnover in KES,0.00,0.00 ,2022-11-08
134,ETF in Units-Total Deals,0.00,0.00 ,2022-11-08
133,TOTAL DERIVATIVES VOLUME,10.00,-20.00 ,2022-11-08
132,TOTAL DERIVATIVES OPEN INTEREST,285.00,0.00 ,2022-11-08
131,TOTAL DERIVATIVES DEALS,8.00,6.00 ,2022-11-08
130,DERIVATIVES TURNOVER,"298,890.00","104,230.00 ",2022-11-08
129,TOTAL I-REIT DEALS,4.00,-4.00 ,2022-11-08
128,I-REIT TURNOVER,"3,298.00","-95,086.00 ",2022-11-08
127,TOTAL EQUITY DEALS,"1,001.00",-84.00 ,2022-11-08
126,EQUITY TURNOVER,"320,219,017.64","188,636,274.16 ",2022-11-08
125,TOTAL SHARE TRADED,"9,402,700.00","2,854,400.00 ",2022-11-08
124,MARKET CAPITALIZATION,"1,984.40",-2.67 ,2022-11-08
123,NSE 25 SHARE INDEX,"3,072.40",-8.18 ,2022-11-08
122,NSE 20 SHARE INDEX,"1,664.62",1.62 ,2022-11-08
106,NSE ALL SHARE INDEX,127.53,-0.02 ,2022-11-07
120,ETF Turnover in KES,0.00,0.00 ,2022-11-07
119,ETF in Units-Total Deals,0.00,0.00 ,2022-11-07
118,TOTAL DERIVATIVES VOLUME,30.00,0.00 ,2022-11-07
117,TOTAL DERIVATIVES OPEN INTEREST,285.00,-10.00 ,2022-11-07
116,TOTAL DERIVATIVES DEALS,2.00,-6.00 ,2022-11-07
115,DERIVATIVES TURNOVER,"194,660.00","-1,100,055.00 ",2022-11-07
114,TOTAL I-REIT DEALS,8.00,-1.00 ,2022-11-07
113,I-REIT TURNOVER,"98,384.00","57,936.00 ",2022-11-07
112,TOTAL EQUITY DEALS,"1,085.00",114.00 ,2022-11-07
111,EQUITY TURNOVER,"131,582,743.48","-73,324,802.55 ",2022-11-07
110,TOTAL SHARE TRADED,"6,548,300.00","-4,892,800.00 ",2022-11-07
109,MARKET CAPITALIZATION,"1,987.07",-0.27 ,2022-11-07
108,NSE 25 SHARE INDEX,"3,080.58",-12.07 ,2022-11-07
107,NSE 20 SHARE INDEX,"1,663.00",-12.66 ,2022-11-07
98,I-REIT TURNOVER,"40,448.00","36,998.00 ",2022-11-04
105,ETF Turnover in KES,0.00,0.00 ,2022-11-04
104,ETF in Units-Total Deals,0.00,0.00 ,2022-11-04
103,TOTAL DERIVATIVES VOLUME,30.00,14.00 ,2022-11-04
102,TOTAL DERIVATIVES OPEN INTEREST,295.00,-2.00 ,2022-11-04
101,TOTAL DERIVATIVES DEALS,8.00,-3.00 ,2022-11-04
100,DERIVATIVES TURNOVER,"1,294,715.00","918,240.00 ",2022-11-04
99,TOTAL I-REIT DEALS,9.00,8.00 ,2022-11-04
97,TOTAL EQUITY DEALS,971.00,-107.00 ,2022-11-04
96,EQUITY TURNOVER,"204,907,546.03","108,723,009.35 ",2022-11-04
95,TOTAL SHARE TRADED,"11,441,100.00","6,506,900.00 ",2022-11-04
94,MARKET CAPITALIZATION,"1,987.34",-4.25 ,2022-11-04
93,NSE 25 SHARE INDEX,"3,092.65",-10.88 ,2022-11-04
92,NSE 20 SHARE INDEX,"1,675.66",-6.89 ,2022-11-04
91,NSE ALL SHARE INDEX,127.55,-0.27 ,2022-11-04
76,NSE ALL SHARE INDEX,127.82,-0.12 ,2022-11-03
90,ETF Turnover in KES,0.00,0.00 ,2022-11-03
89,ETF in Units-Total Deals,0.00,0.00 ,2022-11-03
88,TOTAL DERIVATIVES VOLUME,16.00,-7.00 ,2022-11-03
87,TOTAL DERIVATIVES OPEN INTEREST,297.00,-1.00 ,2022-11-03
86,TOTAL DERIVATIVES DEALS,11.00,-3.00 ,2022-11-03
85,DERIVATIVES TURNOVER,"376,475.00","-150,825.00 ",2022-11-03
84,TOTAL I-REIT DEALS,1.00,-3.00 ,2022-11-03
83,I-REIT TURNOVER,"3,450.00","-16,540.00 ",2022-11-03
82,TOTAL EQUITY DEALS,"1,078.00",96.00 ,2022-11-03
81,EQUITY TURNOVER,"96,184,536.68","-47,855,556.84 ",2022-11-03
80,TOTAL SHARE TRADED,"4,934,200.00","544,700.00 ",2022-11-03
79,MARKET CAPITALIZATION,"1,991.58",-1.82 ,2022-11-03
78,NSE 25 SHARE INDEX,"3,103.53",-1.53 ,2022-11-03
77,NSE 20 SHARE INDEX,"1,682.55",-1.60 ,2022-11-03
63,NSE 25 SHARE INDEX,"3,122.13",0.45 ,2022-10-31
75,ETF Turnover in KES,0.00,0.00 ,2022-10-31
74,ETF in Units-Total Deals,0.00,0.00 ,2022-10-31
73,TOTAL DERIVATIVES VOLUME,29.00,18.00 ,2022-10-31
72,TOTAL DERIVATIVES OPEN INTEREST,300.00,-7.00 ,2022-10-31
71,TOTAL DERIVATIVES DEALS,12.00,10.00 ,2022-10-31
70,DERIVATIVES TURNOVER,"969,725.00","826,725.00 ",2022-10-31
69,TOTAL I-REIT DEALS,5.00,-5.00 ,2022-10-31
61,NSE ALL SHARE INDEX,128.80,0.37 ,2022-10-31
68,I-REIT TURNOVER,"26,974.00","-12,376.00 ",2022-10-31
67,TOTAL EQUITY DEALS,"1,107.00",-179.00 ,2022-10-31
66,EQUITY TURNOVER,"104,437,658.10","-174,659,636.45 ",2022-10-31
65,TOTAL SHARE TRADED,"5,315,600.00","-7,089,400.00 ",2022-10-31
64,MARKET CAPITALIZATION,"2,006.85",5.77 ,2022-10-31
62,NSE 20 SHARE INDEX,"1,677.76",-2.35 ,2022-10-31
23,I-REIT TURNOVER,"39,350.00","33,140.00 ",2022-10-28
16,NSE ALL SHARE INDEX,128.43,-1.20 ,2022-10-28
17,NSE 20 SHARE INDEX,"1,680.11",-12.42 ,2022-10-28
18,NSE 25 SHARE INDEX,"3,121.68",-15.11 ,2022-10-28
19,MARKET CAPITALIZATION,"2,001.08",-18.68 ,2022-10-28
20,TOTAL SHARE TRADED,"12,405,000.00","5,580,300.00 ",2022-10-28
21,EQUITY TURNOVER,"279,097,294.55","119,310,515.56 ",2022-10-28
22,TOTAL EQUITY DEALS,"1,286.00",392.00 ,2022-10-28
24,TOTAL I-REIT DEALS,10.00,6.00 ,2022-10-28
25,DERIVATIVES TURNOVER,"143,000.00","-70,990.00 ",2022-10-28
26,TOTAL DERIVATIVES DEALS,2.00,-3.00 ,2022-10-28
27,TOTAL DERIVATIVES OPEN INTEREST,307.00,10.00 ,2022-10-28
28,TOTAL DERIVATIVES VOLUME,11.00,5.00 ,2022-10-28
29,ETF in Units-Total Deals,0.00,0.00 ,2022-10-28
30,ETF Turnover in KES,0.00,0.00 ,2022-10-28
1,NSE ALL SHARE INDEX,128.68,1.33 ,2022-10-26
15,ETF Turnover in KES,0.00,0.00 ,2022-10-26
14,ETF in Units-Total Deals,0.00,0.00 ,2022-10-26
13,TOTAL DERIVATIVES VOLUME,2.00,-1.00 ,2022-10-26
12,TOTAL DERIVATIVES OPEN INTEREST,298.00,0.00 ,2022-10-26
11,TOTAL DERIVATIVES DEALS,1.00,-2.00 ,2022-10-26
10,DERIVATIVES TURNOVER,"100,000.00","-34,250.00 ",2022-10-26
9,TOTAL I-REIT DEALS,4.00,0.00 ,2022-10-26
8,I-REIT TURNOVER,"10,336.00","-11,642.00 ",2022-10-26
7,TOTAL EQUITY DEALS,"1,153.00",-80.00 ,2022-10-26
6,EQUITY TURNOVER,"756,877,206.22","395,997,302.41 ",2022-10-26
5,TOTAL SHARE TRADED,"21,407,400.00","9,995,700.00 ",2022-10-26
4,MARKET CAPITALIZATION,"2,004.92",20.79 ,2022-10-26
3,NSE 25 SHARE INDEX,"3,123.99",12.94 ,2022-10-26
2,NSE 20 SHARE INDEX,"1,694.11",-5.70 ,2022-10-26
94,MARKET CAPITALIZATION,"1,999.00",-22.32 ,2022-10-21
105,ETF Turnover in KES,0.00,0.00 ,2022-10-21
104,ETF in Units-Total Deals,0.00,0.00 ,2022-10-21
103,TOTAL DERIVATIVES VOLUME,0.00,-7.00 ,2022-10-21
102,TOTAL DERIVATIVES OPEN INTEREST,292.00,2.00 ,2022-10-21
101,TOTAL DERIVATIVES DEALS,0.00,-6.00 ,2022-10-21
100,DERIVATIVES TURNOVER,0.00,"-173,070.00 ",2022-10-21
99,TOTAL I-REIT DEALS,23.00,14.00 ,2022-10-21
98,I-REIT TURNOVER,"969,748.00","934,564.00 ",2022-10-21
97,TOTAL EQUITY DEALS,"1,169.00",-38.00 ,2022-10-21
96,EQUITY TURNOVER,"264,689,803.43","108,876,163.43 ",2022-10-21
95,TOTAL SHARE TRADED,"8,718,800.00","1,474,800.00 ",2022-10-21
93,NSE 25 SHARE INDEX,"3,108.64",-15.90 ,2022-10-21
92,NSE 20 SHARE INDEX,"1,704.60",-0.42 ,2022-10-21
91,NSE ALL SHARE INDEX,128.30,-1.43 ,2022-10-21
77,NSE 20 SHARE INDEX,"1,705.02",10.32 ,2022-10-18
90,ETF Turnover in KES,0.00,"-188,000.00 ",2022-10-18
89,ETF in Units-Total Deals,0.00,-1.00 ,2022-10-18
88,TOTAL DERIVATIVES VOLUME,7.00,-10.00 ,2022-10-18
87,TOTAL DERIVATIVES OPEN INTEREST,290.00,-1.00 ,2022-10-18
86,TOTAL DERIVATIVES DEALS,6.00,1.00 ,2022-10-18
85,DERIVATIVES TURNOVER,"173,070.00","-429,890.00 ",2022-10-18
84,TOTAL I-REIT DEALS,9.00,3.00 ,2022-10-18
83,I-REIT TURNOVER,"35,184.00","-51,192.00 ",2022-10-18
82,TOTAL EQUITY DEALS,"1,207.00",126.00 ,2022-10-18
81,EQUITY TURNOVER,"155,813,640.00","29,737,925.00 ",2022-10-18
80,TOTAL SHARE TRADED,"7,244,000.00","2,629,700.00 ",2022-10-18
76,NSE ALL SHARE INDEX,129.73,-0.05 ,2022-10-18
79,MARKET CAPITALIZATION,"2,021.32",-0.81 ,2022-10-18
78,NSE 25 SHARE INDEX,"3,124.54",-0.68 ,2022-10-18
61,NSE ALL SHARE INDEX,129.78,-0.12 ,2022-10-17
75,ETF Turnover in KES,"188,000.00","188,000.00 ",2022-10-17
74,ETF in Units-Total Deals,1.00,1.00 ,2022-10-17
73,TOTAL DERIVATIVES VOLUME,17.00,11.00 ,2022-10-17
72,TOTAL DERIVATIVES OPEN INTEREST,291.00,-3.00 ,2022-10-17
71,TOTAL DERIVATIVES DEALS,5.00,-1.00 ,2022-10-17
70,DERIVATIVES TURNOVER,"602,960.00","432,530.00 ",2022-10-17
69,TOTAL I-REIT DEALS,6.00,2.00 ,2022-10-17
68,I-REIT TURNOVER,"86,376.00","48,576.00 ",2022-10-17
67,TOTAL EQUITY DEALS,"1,081.00",-5.00 ,2022-10-17
66,EQUITY TURNOVER,"126,075,715.00","-30,882,626.84 ",2022-10-17
65,TOTAL SHARE TRADED,"4,614,300.00","381,900.00 ",2022-10-17
64,MARKET CAPITALIZATION,"2,022.12",-1.86 ,2022-10-17
63,NSE 25 SHARE INDEX,"3,125.22",-0.74 ,2022-10-17
62,NSE 20 SHARE INDEX,"1,694.70",-5.52 ,2022-10-17
46,NSE ALL SHARE INDEX,129.90,1.11 ,2022-10-14
60,ETF Turnover in KES,0.00,0.00 ,2022-10-14
59,ETF in Units-Total Deals,0.00,0.00 ,2022-10-14
58,TOTAL DERIVATIVES VOLUME,6.00,0.00 ,2022-10-14
57,TOTAL DERIVATIVES OPEN INTEREST,294.00,-7.00 ,2022-10-14
56,TOTAL DERIVATIVES DEALS,6.00,1.00 ,2022-10-14
55,DERIVATIVES TURNOVER,"170,430.00","3,510.00 ",2022-10-14
54,TOTAL I-REIT DEALS,4.00,-2.00 ,2022-10-14
53,I-REIT TURNOVER,"37,800.00","8,100.00 ",2022-10-14
52,TOTAL EQUITY DEALS,"1,086.00",-67.00 ,2022-10-14
51,EQUITY TURNOVER,"156,958,341.84","-46,560,820.94 ",2022-10-14
50,TOTAL SHARE TRADED,"4,232,400.00","-3,929,100.00 ",2022-10-14
49,MARKET CAPITALIZATION,"2,023.99",17.29 ,2022-10-14
48,NSE 25 SHARE INDEX,"3,125.96",69.56 ,2022-10-14
47,NSE 20 SHARE INDEX,"1,700.22",25.27 ,2022-10-14
38,I-REIT TURNOVER,"29,700.00","-10,910.00 ",2022-10-13
45,ETF Turnover in KES,0.00,0.00 ,2022-10-13
44,ETF in Units-Total Deals,0.00,0.00 ,2022-10-13
43,TOTAL DERIVATIVES VOLUME,6.00,-21.00 ,2022-10-13
42,TOTAL DERIVATIVES OPEN INTEREST,301.00,1.00 ,2022-10-13
41,TOTAL DERIVATIVES DEALS,5.00,-7.00 ,2022-10-13
40,DERIVATIVES TURNOVER,"166,920.00","-502,800.00 ",2022-10-13
39,TOTAL I-REIT DEALS,6.00,0.00 ,2022-10-13
37,TOTAL EQUITY DEALS,"1,153.00",-353.00 ,2022-10-13
36,EQUITY TURNOVER,"203,519,162.78","-205,989,069.26 ",2022-10-13
35,TOTAL SHARE TRADED,"8,161,500.00","-14,278,200.00 ",2022-10-13
34,MARKET CAPITALIZATION,"2,006.70",-24.31 ,2022-10-13
33,NSE 25 SHARE INDEX,"3,056.40",-26.99 ,2022-10-13
32,NSE 20 SHARE INDEX,"1,674.95",-7.63 ,2022-10-13
31,NSE ALL SHARE INDEX,128.79,-1.56 ,2022-10-13
16,NSE ALL SHARE INDEX,130.35,1.22 ,2022-10-12
30,ETF Turnover in KES,0.00,0.00 ,2022-10-12
29,ETF in Units-Total Deals,0.00,0.00 ,2022-10-12
28,TOTAL DERIVATIVES VOLUME,27.00,19.00 ,2022-10-12
27,TOTAL DERIVATIVES OPEN INTEREST,300.00,2.00 ,2022-10-12
26,TOTAL DERIVATIVES DEALS,12.00,7.00 ,2022-10-12
25,DERIVATIVES TURNOVER,"669,720.00","461,660.00 ",2022-10-12
24,TOTAL I-REIT DEALS,6.00,2.00 ,2022-10-12
23,I-REIT TURNOVER,"40,610.00","25,200.00 ",2022-10-12
22,TOTAL EQUITY DEALS,"1,506.00",236.00 ,2022-10-12
21,EQUITY TURNOVER,"409,508,232.04","110,887,063.65 ",2022-10-12
20,TOTAL SHARE TRADED,"22,439,700.00","2,139,200.00 ",2022-10-12
19,MARKET CAPITALIZATION,"2,031.01",19.00 ,2022-10-12
18,NSE 25 SHARE INDEX,"3,083.39",22.35 ,2022-10-12
17,NSE 20 SHARE INDEX,"1,682.58",14.83 ,2022-10-12
3,NSE 25 SHARE INDEX,"3,034.74",39.84 ,2022-10-07
15,ETF Turnover in KES,0.00,0.00 ,2022-10-07
14,ETF in Units-Total Deals,0.00,0.00 ,2022-10-07
13,TOTAL DERIVATIVES VOLUME,12.00,7.00 ,2022-10-07
12,TOTAL DERIVATIVES OPEN INTEREST,292.00,0.00 ,2022-10-07
11,TOTAL DERIVATIVES DEALS,10.00,6.00 ,2022-10-07
10,DERIVATIVES TURNOVER,"308,120.00","185,880.00 ",2022-10-07
9,TOTAL I-REIT DEALS,4.00,2.00 ,2022-10-07
1,NSE ALL SHARE INDEX,126.32,2.69 ,2022-10-07
8,I-REIT TURNOVER,"21,840.00","19,130.00 ",2022-10-07
7,TOTAL EQUITY DEALS,"1,534.00",-67.00 ,2022-10-07
6,EQUITY TURNOVER,"709,229,923.60","-368,643,510.03 ",2022-10-07
5,TOTAL SHARE TRADED,"25,848,700.00","-17,819,900.00 ",2022-10-07
4,MARKET CAPITALIZATION,"1,968.08",42.05 ,2022-10-07
2,NSE 20 SHARE INDEX,"1,676.77",-0.59 ,2022-10-07
